Price (RUB)
67990
26990
62990
64990
39990
84990
66990
64990
78980
56990
96990
67990
31990
46990
47990
68990
59990
82990
76990
59990
27990
54990
178970
47990
59990
64990
27990
34990
32990
26990
79990
45990
59990
109990
62990
59990
54990
46990
96990
69990
34990
69990
109990
22990
39990
42990
34990
76990
52990
32990
42990
96990
54990
34990
24990
36990
214970
58990
56990
146450
32990
25990
42990
27990
58990
39990
109990
33990
109990
45990
66990
32990
89990
52990
44990
49990
109990
98990
158970
64990
32990
34990
34990
21990
38990
82980
109990
84990
42990
60960
300940
73960
89990
81990
98990
85990
145450
59990
158970
59990
15990
91470
140940
66990
69990
54990
145450
45990
115950
64990
52990
94990
140940
69990
98990
104990
69990
64990
69990
79990
81980
225970
64990
129950
69990
21990
47990
54990
42990
91470
39990
62990
116970
109990
54990
171950
15990
54990
101960
210950
99990
59990
94990
26990
39990
54990
43970
91470
59990
163970
140940
92990
171950
54990
54990
26990
25990
98990
32990
89990
210950
69990
99990
59990
59990
78970
64990
93960
54990
49990
59990
139990
59990
27990
54990
114970
59990
59990
109990
105980
43990
210950
46990
54990
77960
76990
78980
89990
198440
91470
64990
46990
22990
146450
62990
81980
131980
84990
26990
34990
64990
56990
79990
109990
15990
46990
175960
98990
96990
53990
69990
44990
272940
60960
52990
171950
163970
210950
66990
98990
91470
73960
42990
171950
89990
79990
98990
210950
91470
109990
109990
109960
65990
125970
52990
93960
76970
139980
42990
199960
42990
73990
74990
70990
105980
42990
161980
27990
64990
49990
46990
31990
45990
45990
74990
59990
64990
139990
109990
73990
49990
102990
96990
79990
109990
91470
131980
92960
69990
98990
30990
42990
101960
42990
27990
47990
125970
30990
98990
56990
146450
25990
109990
85990
69990
69990
98990
45990
36990
56990
163970
59990
27990
76990
19990
26990
29990
30990
59990
68970
91470
92960
45990
58990
24990
68970
89990
158970
54990
81960
45990
119990
104990
67990
69990
109960
109990
49990
51990
49990
26990
36990
59990
59990
69990
67990
39990
98990
56990
47990
59990
44990
99990
59990
91470
199960
27990
56990
27990
52990
56990
70990
79990
92990
98990
109990
45990
27990
104990
32990
198440
70990
81980
58990
49990
96990
98990
109990
69990
102990
49990
58990
33990
140940
36990
56990
24990
101960
56990
105980
109990
34990
54990
69990
77960
29990
39990
54990
54990
34990
82990
199960
96990
42990
44990
81980
59990
69990
157450
42990
69990
32990
59990
69990
109990
119990
82980
35990
92990
31990
22990
66990
84990
58990
109990
54990
85990
115950
44990
96990
30990
76970
54990
59990
139990
36990
70990
92960
198440
70990
104990
109990
27990
69990
67990
34990
59990
114970
89990
93960
59990
79990
32990
82960
38990
66990
59990
45990
98990
93960
54990
34990
149940
71960
38990
64990
69990
82990
129950
64990
62990
62990
114990
47990
99990
46990
23990
38990
62990
54990
33990
59990
